0.617678	0.617678	beat
2.912312	2.912312	beat
5.097944	5.097944	beat
7.283575	7.283575	beat
9.438462	9.438462	beat
9.734724	11.607324	lyric:I threw up in the
11.674403	11.674403	beat
13.778981	13.778981	beat
15.886355	15.886355	beat
18.010498	18.010498	beat
20.126256	20.126256	beat
22.275554	22.275554	beat
24.477955	24.477955	beat
26.627252	26.627252	beat
28.798909	28.798909	beat
30.939822	30.939822	beat
33.184147	33.184147	beat
34.788434	34.788434	beat
35.084696	35.084696	beat
35.341829	35.341829	beat
37.468767	37.468767	beat
39.634834	39.634834	beat
41.854005	41.854005	beat
44.017277	44.017277	beat
46.214088	46.214088	beat
48.248793	48.248793	beat
50.400886	50.400886	beat
52.508259	52.508259	beat
54.671532	54.671532	beat
56.764931	56.764931	beat
58.939382	58.939382	beat
61.071910	61.071910	beat
63.156924	63.156924	beat
65.250323	65.250323	beat
67.472289	67.472289	beat
69.548918	69.548918	beat
71.692626	71.692626	beat
73.867078	73.867078	beat
75.960477	75.960477	beat
78.081825	78.081825	beat
80.245097	80.245097	beat
82.436318	82.436318	beat
84.742132	84.742132	beat
11.607324	13.127764	lyric:toilet bowl
15.374883	17.781314	lyric:Watched the big ol' sun come
18.010498	20.014459	lyric:Through my window
20.629343	26.476326	lyric:Need to let you know
27.082825	30.509403	lyric:In need of sympathy
31.496012	33.175762	lyric:Damn, I wish you were
33.175762	34.475402	lyric:Here with me
34.475402	39.251929	lyric:Right now
39.836069	41.708669	lyric:And maybe we could
41.753387	43.754554	lyric:Go to town
44.520363	47.010642	lyric:After you peeled me
47.010642	49.235402	lyric:up off the ground
49.833516	52.295845	lyric:With Gatorade, and
52.295845	54.526195	lyric:cigarettes, and
54.526195	56.767725	lyric:love
9.734724	9.969498	lip:i
9.969498	10.109244	lip:th
10.109244	10.274145	lip:o
10.274145	10.475380	lip:O
10.475380	10.475380	lip:p
10.626306	10.729718	lip:i
10.729718	11.034365	lip:n
11.034365	11.204855	lip:th
11.204855	11.392115	lip:uh
11.392115	11.604529	lip:UH
11.601734	11.741481	lip:t
11.741481	11.920356	lip:o
11.920356	12.051717	lip:l
12.051717	12.146745	lip:e
12.146745	12.468161	lip:t
12.468161	12.585548	lip:b
12.585548	12.797962	lip:o
12.797962	13.133353	lip:l
